city,temperature,timestamp
Vancouver,15.2,2024-03-16 00:00:00
Vancouver,14.8,2024-03-16 03:00:00
Vancouver,14.3,2024-03-16 06:00:00
Vancouver,13.9,2024-03-16 09:00:00
Vancouver,13.5,2024-03-16 12:00:00
Vancouver,13.2,2024-03-16 15:00:00
Vancouver,12.8,2024-03-16 18:00:00
Vancouver,12.5,2024-03-16 21:00:00
Toronto,12.5,2024-03-16 00:00:00
Toronto,12.1,2024-03-16 03:00:00
Toronto,11.8,2024-03-16 06:00:00
Toronto,11.4,2024-03-16 09:00:00
Toronto,11.0,2024-03-16 12:00:00
Toronto,10.7,2024-03-16 15:00:00
Toronto,10.3,2024-03-16 18:00:00
Toronto,10.0,2024-03-16 21:00:00
Montreal,11.8,2024-03-16 00:00:00
Montreal,11.4,2024-03-16 03:00:00
Montreal,11.0,2024-03-16 06:00:00
Montreal,10.6,2024-03-16 09:00:00
Montreal,10.2,2024-03-16 12:00:00
Montreal,9.8,2024-03-16 15:00:00
Montreal,9.4,2024-03-16 18:00:00
Montreal,9.0,2024-03-16 21:00:00
Winnipeg,8.5,2024-03-16 00:00:00
Winnipeg,8.1,2024-03-16 03:00:00
Winnipeg,7.7,2024-03-16 06:00:00
Winnipeg,7.3,2024-03-16 09:00:00
Winnipeg,6.9,2024-03-16 12:00:00
Winnipeg,6.5,2024-03-16 15:00:00
Winnipeg,6.1,2024-03-16 18:00:00
Winnipeg,5.7,2024-03-16 21:00:00
Calgary,10.2,2024-03-16 00:00:00
Calgary,9.8,2024-03-16 03:00:00
Calgary,9.4,2024-03-16 06:00:00
Calgary,9.0,2024-03-16 09:00:00
Calgary,8.6,2024-03-16 12:00:00
Calgary,8.2,2024-03-16 15:00:00
Calgary,7.8,2024-03-16 18:00:00
Calgary,7.4,2024-03-16 21:00:00
Edmonton,9.5,2024-03-16 00:00:00
Edmonton,9.1,2024-03-16 03:00:00
Edmonton,8.7,2024-03-16 06:00:00
Edmonton,8.3,2024-03-16 09:00:00
Edmonton,7.9,2024-03-16 12:00:00
Edmonton,7.5,2024-03-16 15:00:00
Edmonton,7.1,2024-03-16 18:00:00
Edmonton,6.7,2024-03-16 21:00:00
